epoch_id,train_serial,train_score,train_elapsed_time
0,20221115_123159,-105.29261436462403,10.9
1,20221115_123159,-101.75822238922119,9.6
2,20221115_123159,-95.7149528503418,9.3
3,20221115_123159,-91.83014602661133,9.5
4,20221115_123159,-88.10015048980713,9.4
5,20221115_123159,-90.3128173828125,9.3
6,20221115_123159,-89.24359359741212,9.4
7,20221115_123159,-88.99494781494141,9.3
8,20221115_123159,-81.4134677886963,9.1
9,20221115_123159,-82.48857021331787,9.2
10,20221115_123159,-81.55635929107666,9.3
